institution,institution_type,province,city,url,clean_url,,
University of Regina,university,SK,Regina,https://www.uregina.ca/,uregina.ca,,
University of Saskatchewan,university - U15,SK,Saskatoon,https://www.usask.ca/,usask.ca,,
Assiniboine Community College,college,MB,Brandon,https://assiniboine.net/,assiniboine.net,,
Brandon University,university,MB,Brandon,https://www.brandonu.ca/,brandonu.ca,,
Red River College,college,MB,Winnipeg,http://www.rrc.mb.ca/,rrc.mb.ca,,
Université de Saint-Boniface,university,MB,Winnipeg,http://ustboniface.ca/,ustboniface.ca,,
University College of the North,university,MB,The Pas,https://www.ucn.ca/defaulted.aspx,ucn.ca,,
University of Manitoba,university - U15,MB,Winnipeg,http://www.umanitoba.ca/,umanitoba.ca,,
University of Winnipeg,university,MB,Winnipeg,http://www.uwinnipeg.ca/,uwinnipeg.ca,,
Manitoba Institute of Trades and Technology,polytechnic,MB,Winnipeg,http://www.mitt.ca/,mitt.ca,,
Algonquin College,college,ON,Ottawa,https://www.algonquincollege.com/,algonquincollege.com,,
Collège Boréal,college,ON,Sudbury,https://www.collegeboreal.ca/en/,collegeboreal.ca,,
Cambrian College,college,ON,Sudbury,https://cambriancollege.ca/,cambriancollege.ca,,
Canadore College,college,ON,North Bay,https://www.canadorecollege.ca/,canadorecollege.ca,,
Centennial College,college,ON,Toronto,https://www.centennialcollege.ca/,centennialcollege.ca,,
Conestoga College,college,ON,Kitchener,https://www.conestogac.on.ca/,conestogac.on.ca,,
Confederation College,college,ON,Thunder Bay,https://www.confederationcollege.ca/,confederationcollege.ca,,
Durham College,college,ON,Oshawa,https://durhamcollege.ca/,durhamcollege.ca,,
Fanshawe College,college,ON,London,https://www.fanshawec.ca/,fanshawec.ca,,
Fleming College,college,ON,Peterborough,https://flemingcollege.ca/,flemingcollege.ca,,
George Brown College,college,ON,Toronto,https://www.georgebrown.ca/,georgebrown.ca,,
Georgian College,college,ON,Barrie,https://www.georgiancollege.ca/,georgiancollege.ca,,
Humber College,college,ON,Toronto,https://humber.ca/,humber.ca,,
La Cité collégiale,college,ON,Ottawa,https://www.collegelacite.ca/,collegelacite.ca,,
Lambton College,college,ON,Sarnia,https://www.lambtoncollege.ca/,lambtoncollege.ca,,
Loyalist College,college,ON,Belleville,https://www.loyalistcollege.com/,loyalistcollege.com,,
Mohawk College,college,ON,Hamilton,https://www.mohawkcollege.ca/,mohawkcollege.ca,,
Niagara College,college,ON,Welland,https://www.niagaracollege.ca/,niagaracollege.ca,,
Northern College,college,ON,Timmins,http://www.northernc.on.ca/,northernc.on.ca,,
St. Clair College,college,ON,Windsor,https://www.stclaircollege.ca/,stclaircollege.ca,,
St. Lawrence College,college,ON,Kingston,https://www.stlawrencecollege.ca/,stlawrencecollege.ca,,
Sault College,college,ON,Sault Ste. Marie,https://www.saultcollege.ca/,saultcollege.ca,,
Seneca College,college,ON,Toronto,https://www.senecacollege.ca/home.html,senecacollege.ca,,
Sheridan College,college,ON,Oakville,https://www.sheridancollege.ca/,sheridancollege.ca,,
Algoma University,university,ON,Sault Ste. Marie,http://www.algomau.ca/,algomau.ca,,
Brock University,university,ON,St Catharines,http://www.brocku.ca/,brocku.ca,,
Carleton University,university,ON,Ottawa,http://www.carleton.ca/,carleton.ca,,
Lakehead University,university,ON,Thunder Bay,https://www.lakeheadu.ca/,lakeheadu.ca,,
Laurentian University,university,ON,Sudbury,http://www.laurentian.ca/,laurentian.ca,,
McMaster University,university - U15,ON,Hamilton,http://www.mcmaster.ca/,mcmaster.ca,,
Nipissing University,university,ON,North Bay,http://www.nipissingu.ca/,nipissingu.ca,,
OCAD University,university,ON,Toronto,http://www.ocadu.ca/,ocadu.ca,,
Ontario Tech University,university,ON,Oshawa,https://ontariotechu.ca/,ontariotechu.ca,,
Queen's University,university - U15,ON,Kingston,http://www.queensu.ca/,queensu.ca,,
Ryerson University,university,ON,Toronto,http://www.ryerson.ca/,ryerson.ca,,
Trent University,university,ON,Peterborough,http://www.trentu.ca/,trentu.ca,,
University of Guelph,university,ON,Guelph,http://www.uoguelph.ca/,uoguelph.ca,,
University of Hearst,university,ON,Hearst,http://www.uhearst.ca/english,uhearst.ca,,
Université de l’Ontario français,university,ON,Toronto,https://uontario.ca/,uontario.ca,,
University of Ottawa,university - U15,ON,Ottawa,http://www.uottawa.ca/welcome.html,uottawa.ca,,
University of Toronto,university - U15,ON,Toronto,http://www.utoronto.ca/,utoronto.ca,,
University of Waterloo,university - U15,ON,Waterloo,https://uwaterloo.ca/,uwaterloo.ca,,
University of Windsor,university,ON,Windsor,http://www.uwindsor.ca/,uwindsor.ca,,
Western University,university - U15,ON,London,http://www.westernu.ca/,westernu.ca,,
Wilfrid Laurier University,university,ON,Waterloo,http://www.wlu.ca/,wlu.ca,,
York University,university,ON,Toronto,http://www.yorku.ca/,yorku.ca,,
Université Laval ,university - U15,QC,Québec City,http://www2.ulaval.ca/,www2.ulaval.ca,,
Université de Sherbrooke,university,QC,Estrie,http://www.usherbrooke.ca/,usherbrooke.ca,,
Université de Montréal ,university - U15,QC,Montréal,http://www.umontreal.ca/,umontreal.ca,,
Université du Québec à Montréal,university,QC,Montréal,http://www.uqam.ca/,uqam.ca,,
HEC Montréal,university,QC,Montréal,http://www.hec.ca/,hec.ca,,
École polytechnique de Montréal,polytechnic,QC,Montréal,http://www.polymtl.ca/,polymtl.ca,,
École nationale d’administration publique (ENAP),university,QC,Montréal,http://enap.ca/,enap.ca,,
École de technologie supérieure (ETS),polytechnic,QC,Montréal,http://www.etsmtl.ca/,etsmtl.ca,,
Institut national de la recherche scientifique (INRS),university,QC,Montréal,http://www.inrs.ca/,inrs.ca,,
Université du Québec à Trois-Rivières (UQTR),university,QC,Centre-du-Québec,http://www.uqtr.ca/,uqtr.ca,,
Université du Québec à Chicoutimi (UQAC),university,QC,Saguenay–Lac-Saint-Jean,http://www.uqac.ca/,uqac.ca,,
Université du Québec à Rimouski (UQAR),university,QC,Bas-Saint-Laurent,http://www.uqar.ca/,uqar.ca,,
Université du Québec en Outaouais (UQO),university,QC,Outaouais,http://uqo.ca/,uqo.ca,,
Université du Québec en Abitibi-Témiscamingue (UQAT),university,QC,Abitibi-Témiscamingue,http://uqat.ca/,uqat.ca,,
Télé-Université (TELUQ),university,QC,Québec City,http://www.teluq.ca/,teluq.ca,,
Concordia University,university,QC,Montréal,http://www.concordia.ca/,concordia.ca,,
McGill University,university - U15,QC,Montréal,http://www.mcgill.ca/,mcgill.ca,,
Bishop’s University,university,QC,Sherbrooke,http://www.ubishops.ca/,ubishops.ca,,
Cégep de la Gaspésie et des Îles,Cégep,QC,Gaspé ,http://cegepgim.ca/,cegepgim.ca,,
Cégep de La Pocatière,Cégep,QC,La Pocatière ,http://www.cegeplapocatiere.qc.ca/,cegeplapocatiere.qc.ca,,
Cégep de Matane,Cégep,QC,Matane,http://cegep-matane.qc.ca/,cegep-matane.qc.ca,,
